#CopyNumber, LargeOrSmall, NorthOrSouth, CircleNumber, PositionNumber, UpOrDown, PmtType, GCU, Channel
#update PMT Mapping file by wuchx 230831, including fourth Circle.
0,0,0,62,1,0,1,0,-1
1,0,0,62,2,0,1,0,-1
2,0,0,62,3,0,2,0,-1
3,0,0,62,4,0,1,0,-1
4,0,0,62,5,0,2,0,-1
5,0,0,62,6,0,1,0,-1
6,0,0,62,7,0,2,0,-1
7,0,0,61,1,0,1,0,-1
8,0,0,61,2,0,1,0,-1
9,0,0,61,3,0,1,0,-1
10,0,0,61,4,0,1,0,-1
11,0,0,61,5,0,1,0,-1
12,0,0,61,6,0,1,0,-1
13,0,0,61,7,0,1,0,-1
14,0,0,61,8,0,1,0,-1
15,0,0,61,9,0,1,0,-1
16,0,0,61,10,0,1,0,-1
17,0,0,61,11,0,1,0,-1
18,0,0,61,12,0,1,0,-1
19,0,0,61,13,0,1,0,-1
20,0,0,61,14,0,1,0,-1
21,0,0,60,1,0,2,5999,3
22,0,0,60,2,0,2,5999,2
23,0,0,60,3,0,2,5999,1
24,0,0,60,4,0,2,7323,1
25,0,0,60,5,0,2,7323,2
26,0,0,60,6,0,2,7323,3
27,0,0,60,7,0,2,2964,3
28,0,0,60,8,0,2,2964,2
29,0,0,60,9,0,2,2964,1
30,0,0,60,10,0,2,2370,1
31,0,0,60,11,0,2,2370,2
32,0,0,60,12,0,2,2370,3
33,0,0,60,13,0,2,3208,3
34,0,0,60,14,0,2,3208,2
35,0,0,60,15,0,2,3208,1
36,0,0,60,16,0,2,5506,2
37,0,0,60,17,0,2,5506,1
38,0,0,60,18,0,2,3190,1
39,0,0,60,19,0,2,3190,2
40,0,0,60,20,0,1,3190,3
41,0,0,59,1,0,1,6428,1
42,0,0,59,2,0,2,6185,3
43,0,0,59,3,0,2,6185,2
44,0,0,59,4,0,2,6185,1
45,0,0,59,5,0,2,2986,3
46,0,0,59,6,0,2,2986,2
47,0,0,59,7,0,2,2986,1
48,0,0,59,8,0,2,4085,3
49,0,0,59,9,0,2,4085,2
50,0,0,59,10,0,2,4085,1
51,0,0,59,11,0,2,5848,3
52,0,0,59,12,0,2,5848,2
53,0,0,59,13,0,2,5848,1
54,0,0,59,14,0,2,6128,3
55,0,0,59,15,0,2,6128,2
56,0,0,59,16,0,2,6128,1
57,0,0,59,17,0,2,2524,1
58,0,0,59,18,0,2,2524,2
59,0,0,59,19,0,2,2524,3
60,0,0,59,20,0,2,3485,1
61,0,0,59,21,0,2,3485,2
62,0,0,59,22,0,2,3485,3
63,0,0,59,23,0,2,5506,3
64,0,0,59,24,0,2,3195,3
65,0,0,59,25,0,2,3195,2
66,0,0,59,26,0,2,3195,1
67,0,0,59,27,0,2,6428,3
68,0,0,59,28,0,2,6428,2
69,0,0,58,1,0,2,5452,3
70,0,0,58,2,0,2,5452,2
71,0,0,58,3,0,2,5452,1
72,0,0,58,4,0,2,5026,1
73,0,0,58,5,0,2,5026,2
74,0,0,58,6,0,2,5026,3
75,0,0,58,7,0,2,3608,1
76,0,0,58,8,0,2,3608,2
77,0,0,58,9,0,2,3608,3
78,0,0,58,10,0,2,3245,1
79,0,0,58,11,0,2,3245,2
80,0,0,58,12,0,2,3245,3
81,0,0,58,13,0,2,6466,3
82,0,0,58,14,0,2,6466,2
83,0,0,58,15,0,2,6466,1
84,0,0,58,16,0,2,5796,3
85,0,0,58,17,0,2,5796,2
86,0,0,58,18,0,2,5796,1
87,0,0,58,19,0,2,5053,1
88,0,0,58,20,0,2,5053,2
89,0,0,58,21,0,2,5053,3
90,0,0,58,22,0,2,5464,1
91,0,0,58,23,0,2,5464,2
92,0,0,58,24,0,2,5464,3
93,0,0,58,25,0,2,3151,1
94,0,0,58,26,0,2,3151,2
95,0,0,58,27,0,2,3151,3
96,0,0,58,28,0,2,4260,3
97,0,0,58,29,0,2,4260,2
98,0,0,58,30,0,2,6484,3
99,0,0,58,31,0,2,6484,2
100,0,0,58,32,0,2,6484,1
101,0,0,58,33,0,2,5473,3
102,0,0,58,34,0,2,5473,2
103,0,0,58,35,0,1,5473,1
